benchmark,lambda_nm,I_wcm2,Re_eps_eff,Im_eps_eff,delta_Im_rel,status
DeLeon2014_fs_795nm,554.8511891130098,3162277660.1683793,1.9824625961815194,-4.0233255783940205,0.053659628908364905,ok
DeLeon2014_fs_795nm,554.8511891130098,4641588833.612773,1.983665248885019,-3.9313241033341213,0.07529961512193806,ok
DeLeon2014_fs_795nm,554.8511891130098,6812920690.579595,1.9879460790965124,-3.8098923755385803,0.10386199321071338,ok
DeLeon2014_fs_795nm,554.8511891130098,10000000000.0,1.9978241951244362,-3.6555418625758413,0.14016731299386853,ok
DeLeon2014_fs_795nm,554.8511891130098,14677992676.220675,2.0165553710489728,-3.467983030501894,0.18428367675511872,ok
DeLeon2014_fs_795nm,554.8511891130098,21544346900.31878,2.0475199039572045,-3.251156252162015,0.23528425572359252,ok
DeLeon2014_fs_795nm,554.8511891130098,31622776601.683792,2.0932905579553815,-3.012882330006413,0.29132949181512435,questionable
DeLeon2014_fs_795nm,554.8511891130098,46415888336.12772,2.1548620648698114,-2.7631009920878093,0.35008142710145806,questionable
DeLeon2014_fs_795nm,554.8511891130098,68129206905.795944,2.2314626351174964,-2.5116366643113612,0.40922922427258895,questionable
DeLeon2014_fs_795nm,554.8511891130098,100000000000.0,2.320938192215526,-2.2665705362966793,0.46687207867463754,questionable
DeLeon2014_fs_795nm,554.8511891130098,146779926762.20676,2.4203779731886637,-2.0336213249499338,0.5216648710589364,questionable
DeLeon2014_fs_795nm,554.8511891130098,215443469003.18777,2.526672251841776,-1.8162864768357034,0.5727849548821459,questionable
DeLeon2014_fs_795nm,554.8511891130098,316227766016.83795,2.636878284565514,-1.616317764418646,0.6198202896638296,questionable
DeLeon2014_fs_795nm,554.8511891130098,464158883361.2773,2.74840829075935,-1.4342342976823363,0.662648773743329,questionable
DeLeon2014_fs_795nm,554.8511891130098,681292069057.9595,2.859098362865978,-1.2697457142665702,0.7013387042590067,questionable
DeLeon2014_fs_795nm,554.8511891130098,1000000000000.0,2.9672110366533384,-1.1220617101392152,0.7360759713647842,questionable
