lambda_nm,Au_re_lerer,Au_im_lerer,Cu_re_lerer,Cu_im_lerer,Au_re_jc,Au_im_jc,Cu_re_jc,Cu_im_jc,cu_lerer_extrapolated
3.820000000000000000e+02,-8.582279999999999909e-01,-6.473295999999999495e+00,1.941192307692318764e+00,-6.901569230769226237e+00,-1.606299371069182635e+00,-5.647371698113207827e+00,-2.423225786163522244e+00,-5.444306918238994264e+00,1.000000000000000000e+00
3.840000000000000000e+02,-8.909290000000007481e-01,-6.474719999999999587e+00,1.829115384615384698e+00,-6.890061538461537793e+00,-1.611896855345912094e+00,-5.659258490566037914e+00,-2.463728930817610241e+00,-5.462734591194968736e+00,1.000000000000000000e+00
3.860000000000000000e+02,-9.236480000000000246e-01,-6.476063999999999155e+00,1.717038461538464844e+00,-6.878553846153842244e+00,-1.617494339622641553e+00,-5.671145283018868000e+00,-2.504232075471698238e+00,-5.481162264150944097e+00,1.000000000000000000e+00
3.880000000000000000e+02,-9.491669999999996499e-01,-6.477856000000000058e+00,1.604961538461537884e+00,-6.867046153846153800e+00,-1.623091823899371011e+00,-5.683032075471698086e+00,-2.544735220125786235e+00,-5.499589937106918569e+00,1.000000000000000000e+00
3.900000000000000000e+02,-9.746999999999998998e-01,-6.479599999999999582e+00,1.492884615384618030e+00,-6.855538461538465356e+00,-1.628689308176100692e+00,-5.694918867924528172e+00,-2.585238364779874676e+00,-5.518017610062893041e+00,1.000000000000000000e+00
3.920000000000000000e+02,-9.930250000000002686e-01,-6.481848000000000276e+00,1.380807692307698176e+00,-6.844030769230769806e+00,-1.634286792452830150e+00,-5.706805660377359146e+00,-2.625741509433962673e+00,-5.536445283018868402e+00,1.000000000000000000e+00
3.940000000000000000e+02,-1.014690999999999566e+00,-6.480179999999999829e+00,1.268730769230771216e+00,-6.832523076923081362e+00,-1.639884276729559831e+00,-5.718692452830188344e+00,-2.666244654088051114e+00,-5.554872955974842874e+00,1.000000000000000000e+00
3.960000000000000000e+02,-1.033031999999999950e+00,-6.482374000000000080e+00,1.156653846153844256e+00,-6.821015384615385813e+00,-1.645481761006289290e+00,-5.730579245283019318e+00,-2.706747798742139111e+00,-5.573300628930818235e+00,1.000000000000000000e+00
3.980000000000000000e+02,-1.054704000000000086e+00,-6.480639999999999290e+00,1.044576923076924402e+00,-6.809507692307690263e+00,-1.651392452830188873e+00,-5.738088679245283430e+00,-2.753866037735849925e+00,-5.588603773584906342e+00,1.000000000000000000e+00
4.000000000000000000e+02,-1.080286999999999775e+00,-6.482184000000000168e+00,9.325000000000045475e-01,-6.798000000000001819e+00,-1.658033962264151118e+00,-5.735384276729559971e+00,-2.816419496855346427e+00,-5.596616352201257527e+00,1.000000000000000000e+00
4.020000000000000000e+02,-1.090220000000000411e+00,-6.470447999999999311e+00,8.204230769230775877e-01,-6.786492307692299164e+00,-1.664675471698113141e+00,-5.732679874213836513e+00,-2.878972955974843373e+00,-5.604628930817609600e+00,1.000000000000000000e+00
