lambda_nm,R_Au,T_Au,P_Au,lambda_nm_Cu,R_Cu,T_Cu,P_Cu
815.0,0.0027155323220983342,0.9461357998384605,0.051148667839441164,775.0,0.036008541905463494,0.8221016208521288,0.14188983724240767
820.0,0.0018527985338150745,0.9447423100146563,0.05340489145152871,780.0,0.03047522578688612,0.8304879659108592,0.13903680830225473
825.0,0.002208990992441859,0.9402422678349511,0.057548741172607,785.0,0.025446783921354348,0.8380389886736068,0.13651422740503882
830.0,0.004654606566450799,0.9302922611253535,0.06505313230819576,790.0,0.020821345877392036,0.8460612184069639,0.13311743571564405
835.0,0.01137649537509803,0.909450183318781,0.07917332130612098,795.0,0.01670548267198543,0.8530263521619309,0.13026816516608364
840.0,0.028539254053000805,0.8634336787385234,0.10802706720847577,800.0,0.013102850502791948,0.8588289291643167,0.12806822033289134
845.0,0.07592692331696119,0.7498474528728195,0.17422562381021933,805.0,0.010080022245664814,0.862239395000226,0.1276805827541092
850.0,0.2119941979953924,0.4592278528773472,0.3287779491272604,810.0,0.00761789185194435,0.8640879579382031,0.12829415020985246
855.0,0.3802505817014502,0.1759163607125537,0.4438330575859961,815.0,0.005794138655518787,0.8639067510755808,0.1302991102689004
860.0,0.269174689687881,0.4709809485590677,0.25984436175305126,820.0,0.004742474794844455,0.8612192273646557,0.1340382978404998
865.0,0.15846038289431674,0.7056060507384304,0.13593356636725284,825.0,0.004825488465340086,0.8542453090374095,0.1409292024972505
870.0,0.10602169711871924,0.8094385744983573,0.08453972838292345,830.0,0.006687014306891182,0.8404611660370291,0.15285181965607963
875.0,0.0801908688243242,0.8590559857363985,0.060753145439277234,835.0,0.011637642034676087,0.8156205335484485,0.17274182441687536
880.0,0.06633350304344389,0.8856142658013028,0.048052231155253367,840.0,0.022590455942819124,0.7702559006549954,0.20715364340218545
885.0,0.05851423297718982,0.9010448985431261,0.04044086847968409,845.0,0.045555047406528985,0.6883660613165303,0.26607889127694073
890.0,0.05407938910307583,0.9104700811643485,0.035450529732575675,850.0,0.08941295446436065,0.555100802677136,0.3554862428585033
895.0,0.051710092010428456,0.9163515187840283,0.03193838920554326,855.0,0.14718005340032012,0.42037974926348326,0.4324401973361966
,,,,860.0,0.1692221719152051,0.4309580386138964,0.3998197894708984
,,,,865.0,0.14440252848905497,0.5611110117616521,0.2944864597492929
,,,,870.0,0.11254105464184971,0.6782318315261223,0.20922711383202797
,,,,875.0,0.08956156106133026,0.7536015430656451,0.15683689587302463
,,,,880.0,0.07479906388307768,0.799952723952415,0.12524821216450732
,,,,885.0,0.06550751990681858,0.8292479715279875,0.10524450856519396
,,,,890.0,0.05971721166815179,0.8485027236105891,0.0917800647212591
,,,,895.0,0.05621925763802669,0.8615967207482206,0.08218402161375271
