I_wcm2,lambda_nm,R,T,P,branchA_status
20000000.0,455.0,0.07861837348642536,0.21222331136111292,0.7091583151524616,ok
20000000.0,460.0,0.0785688875553903,0.2169452816107718,0.704485830833838,ok
20000000.0,465.0,0.07821706839646156,0.22181588170865496,0.6999670498948835,ok
20000000.0,470.0,0.07755809681839293,0.22685103944498478,0.6955908637366224,ok
20000000.0,475.0,0.07599117050094562,0.22650249297580982,0.6975063365232446,ok
20000000.0,480.0,0.07379250103793576,0.22394465453710508,0.7022628444249591,ok
20000000.0,485.0,0.07116341645834418,0.22132844183581724,0.7075081417058386,ok
20000000.0,490.0,0.06803581705363747,0.2186922900509463,0.7132718928954163,ok
20000000.0,495.0,0.0641658115760376,0.21611349395631224,0.7197206944676502,ok
20000000.0,500.0,0.05674615846782456,0.20055745830478114,0.7426963832273943,ok
20000000.0,505.0,0.05607720498040168,0.17836619196100903,0.7655566030585893,ok
20000000.0,510.0,0.055379963304542784,0.15584758292083156,0.7887724537746257,ok
20000000.0,515.0,0.05547260983432601,0.13275145447405937,0.8117759356916147,ok
20000000.0,520.0,0.056897316060053736,0.10954829334520066,0.8335543905947456,ok
20000000.0,525.0,0.06235699161218996,0.0871091123676136,0.8505338960201965,ok
20000000.0,530.0,0.07065888022975991,0.06754232922115631,0.8617987905490838,ok
20000000.0,535.0,0.08147754562638977,0.051317681707370555,0.8672047726662397,ok
20000000.0,540.0,0.0946014252638347,0.038457922002704384,0.8669406527334609,ok
20000000.0,545.0,0.1095044907248078,0.02868903347454194,0.8618064758006502,ok
20000000.0,550.0,0.12534352958170203,0.021633070118129413,0.8530234003001685,ok
20000000.0,555.0,0.14101010122323296,0.016865587639907788,0.8421243111368593,ok
20000000.0,560.0,0.15600521671261114,0.013711582902243313,0.8302832003851456,ok
20000000.0,565.0,0.16964998336537943,0.0118766579282908,0.8184733587063298,ok
20000000.0,570.0,0.18126528162138383,0.011255795175547968,0.8074789232030682,ok
20000000.0,575.0,0.190159557134167,0.012012733114152853,0.7978277097516802,ok
20000000.0,580.0,0.1956943808805881,0.014746202949960815,0.7895594161694511,ok
20000000.0,585.0,0.19678484706084565,0.02143401498019265,0.7817811379589616,ok
