design,formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
improved,Lerer,600,6.416537,1.451402,0.000009,0.000000,0.999991
improved,Lerer,610,6.382011,1.262069,0.000160,0.000000,0.999840
improved,Lerer,620,6.326270,1.090345,0.000907,0.000000,0.999093
improved,Lerer,630,6.267888,0.936166,0.002544,0.000001,0.997455
improved,Lerer,640,6.202291,0.798254,0.005168,0.000004,0.994828
improved,Lerer,650,6.128547,0.673525,0.008322,0.000016,0.991661
improved,Lerer,660,5.719076,0.445923,0.009686,0.000191,0.990123
improved,Lerer,670,5.350729,0.295356,0.002947,0.001032,0.996021
improved,Lerer,680,5.091550,0.207227,0.000923,0.002811,0.996266
improved,Lerer,690,4.904778,0.154337,0.048498,0.005028,0.946474
improved,Lerer,700,4.789307,0.126868,0.004554,0.007406,0.988040
improved,Lerer,710,4.693774,0.106052,0.143837,0.008125,0.848038
improved,Lerer,720,4.614125,0.090017,0.132742,0.010481,0.856777
improved,Lerer,730,4.546826,0.077402,0.040335,0.014084,0.945580
improved,Lerer,740,4.497764,0.069234,0.254519,0.012196,0.733285
improved,Lerer,750,4.454220,0.062310,0.350075,0.011778,0.638147
