lambda_nm,I_wcm2,P_lin,P_dec,P_sc,dP_dec,dP_sc,ratio_cyl_lin,ratio_film_lin,ratio_cyl_sc,ratio_film_sc,Re_eps_cyl_sc,Im_eps_cyl_sc,Re_eps_film_sc,Im_eps_film_sc,Re_eps_dec,Im_eps_dec,iterations,converged
610,2.000e+07,0.648096,0.677504,0.662622,+0.029408,+0.014526,0.70713,0.37177,0.68969,0.35676,7.11468,1.64620,7.17195,1.59333,7.06094,1.69183,15,1
620,1.000e+06,0.530687,0.532144,0.531582,+0.001458,+0.000895,0.86147,0.48759,0.86009,0.48657,6.84443,1.01186,6.84566,1.00984,6.84396,1.01262,11,1
620,5.000e+06,0.530687,0.537863,0.535085,+0.007176,+0.004399,0.86147,0.48759,0.85470,0.48260,6.83300,1.03017,6.83925,1.02022,6.83054,1.03403,13,1
620,2.000e+07,0.530687,0.557765,0.547223,+0.027078,+0.016537,0.86147,0.48759,0.83664,0.46908,6.78966,1.09459,6.81553,1.05704,6.77791,1.11084,14,1
630,1.000e+06,0.440708,0.441783,0.441523,+0.001075,+0.000816,1.01495,0.61383,1.01319,0.61255,6.52010,0.69949,6.52067,0.69816,6.52012,0.69944,11,1
630,5.000e+06,0.440708,0.446034,0.444727,+0.005326,+0.004019,1.01495,0.61383,1.00637,0.60753,6.51431,0.71276,6.51720,0.70618,6.51435,0.71265,12,1
630,2.000e+07,0.440708,0.461297,0.455958,+0.020589,+0.015250,1.01495,0.61383,0.98316,0.59038,6.49206,0.76016,6.50422,0.73489,6.49153,0.76123,14,1
640,1.000e+06,0.347999,0.348900,0.348774,+0.000901,+0.000775,1.09620,0.71417,1.09477,0.71304,6.25020,0.49837,6.25045,0.49758,6.25026,0.49818,10,1
640,5.000e+06,0.347999,0.352475,0.351829,+0.004476,+0.003830,1.09620,0.71417,1.08914,0.70859,6.24738,0.50743,6.24863,0.50347,6.24768,0.50650,12,1
640,2.000e+07,0.347999,0.365450,0.362678,+0.017451,+0.014679,1.09620,0.71417,1.06942,0.69296,6.23640,0.54029,6.24172,0.52484,6.23740,0.53745,14,1
650,1.000e+06,0.260418,0.261157,0.261076,+0.000739,+0.000657,1.08891,0.76903,1.08814,0.76832,6.02808,0.36384,6.02818,0.36341,6.02811,0.36373,9,1
650,5.000e+06,0.260418,0.264099,0.263687,+0.003680,+0.003268,1.08891,0.76903,1.08512,0.76547,6.02679,0.36971,6.02727,0.36755,6.02692,0.36914,11,1
650,2.000e+07,0.260418,0.274908,0.273157,+0.014490,+0.012738,1.08891,0.76903,1.07417,0.75514,6.02168,0.39136,6.02377,0.38277,6.02217,0.38937,13,1
660,1.000e+06,0.197535,0.198089,0.198040,+0.000554,+0.000505,1.07553,0.81568,1.07511,0.81520,5.84418,0.27185,5.84421,0.27162,5.84419,0.27179,9,1
660,5.000e+06,0.197535,0.200300,0.200054,+0.002765,+0.002519,1.07553,0.81568,1.07341,0.81326,5.84359,0.27575,5.84377,0.27457,5.84364,0.27542,11,1
660,2.000e+07,0.197535,0.208496,0.207458,+0.010961,+0.009923,1.07553,0.81568,1.06717,0.80614,5.84122,0.29024,5.84202,0.28551,5.84142,0.28902,13,1
670,1.000e+06,0.168989,0.169383,0.169367,+0.000394,+0.000377,1.08306,0.89179,1.08276,0.89129,5.68525,0.22283,5.68526,0.22271,5.68526,0.22278,8,1
670,5.000e+06,0.168989,0.170956,0.170876,+0.001966,+0.001886,1.08306,0.89179,1.08157,0.88931,5.68492,0.22551,5.68500,0.22492,5.68495,0.22526,10,1
670,2.000e+07,0.168989,0.176803,0.176443,+0.007813,+0.007454,1.08306,0.89179,1.07717,0.88199,5.68362,0.23554,5.68395,0.23311,5.68375,0.23458,12,1
680,1.000e+06,0.164768,0.164975,0.165002,+0.000206,+0.000234,1.20574,1.09470,1.20489,1.09302,5.55351,0.18616,5.55351,0.18611,5.55351,0.18608,8,1
680,5.000e+06,0.164768,0.165802,0.165939,+0.001033,+0.001171,1.20574,1.09470,1.20154,1.08639,5.55330,0.18827,5.55333,0.18802,5.55335,0.18783,10,1
680,2.000e+07,0.164768,0.168921,0.169399,+0.004153,+0.004631,1.20574,1.09470,1.18987,1.06337,5.55250,0.19608,5.55262,0.19497,5.55268,0.19442,12,1
690,1.000e+06,0.121967,0.122180,0.122182,+0.000213,+0.000215,1.17262,0.91573,1.17235,0.91544,5.44264,0.15793,5.44264,0.15785,5.44264,0.15788,8,1
690,5.000e+06,0.121967,0.123031,0.123043,+0.001064,+0.001076,1.17262,0.91573,1.17128,0.91428,5.44253,0.15942,5.44256,0.15902,5.44255,0.15915,10,1
690,2.000e+07,0.121967,0.126206,0.126239,+0.004239,+0.004273,1.17262,0.91573,1.16731,0.90996,5.44208,0.16500,5.44221,0.16336,5.44217,0.16393,11,1
700,1.000e+06,0.098341,0.098501,0.098494,+0.000160,+0.000152,1.11381,0.87167,1.11370,0.87154,5.34810,0.13577,5.34811,0.13572,5.34810,0.13575,7,1
700,5.000e+06,0.098341,0.099139,0.099108,+0.000797,+0.000767,1.11381,0.87167,1.11327,0.87105,5.34804,0.13683,5.34806,0.13654,5.34805,0.13669,9,1
700,2.000e+07,0.098341,0.101526,0.101401,+0.003185,+0.003059,1.11381,0.87167,1.11165,0.86922,5.34780,0.14077,5.34787,0.13962,5.34783,0.14024,11,1
