lower_fill,lower_t_nm,spacer_nm,lambda_nm,A_layers
0.30,1500,25,580,0.996292
0.30,1500,25,590,0.996987
0.30,1500,25,600,0.997747
0.30,1500,25,610,0.998540
0.30,1500,25,620,0.999178
0.30,1500,25,630,0.999310
0.30,1500,25,640,0.998985
0.30,1500,25,650,0.999105
0.30,1500,25,660,0.989801
0.30,1500,25,670,0.953083
0.30,1500,25,680,0.959341
0.30,1500,25,690,0.985400
0.30,1500,25,700,0.996138
0.30,1500,25,710,0.988264
0.30,1500,25,720,0.966147
0.30,1500,25,730,0.949557
0.30,1500,25,740,0.909309
0.30,1500,25,750,0.909522
0.30,1500,50,400,0.986891
0.30,1500,50,410,0.989279
0.30,1500,50,420,0.991254
0.30,1500,50,430,0.992934
0.30,1500,50,440,0.994525
0.30,1500,50,450,0.996175
0.30,1500,50,460,0.997716
0.30,1500,50,470,0.998944
0.30,1500,50,480,0.999697
0.30,1500,50,490,0.999975
0.30,1500,50,500,0.999906
0.30,1500,50,510,0.999458
0.30,1500,50,520,0.998197
0.30,1500,50,530,0.995577
0.30,1500,50,540,0.992512
0.30,1500,50,550,0.993338
0.30,1500,50,560,0.994845
0.30,1500,50,570,0.995644
0.30,1500,50,580,0.996292
0.30,1500,50,590,0.996987
0.30,1500,50,600,0.997747
0.30,1500,50,610,0.998540
0.30,1500,50,620,0.999178
0.30,1500,50,630,0.999310
0.30,1500,50,640,0.998985
0.30,1500,50,650,0.999105
0.30,1500,50,660,0.989801
0.30,1500,50,670,0.953083
0.30,1500,50,680,0.959341
0.30,1500,50,690,0.985401
0.30,1500,50,700,0.996140
0.30,1500,50,710,0.988325
0.30,1500,50,720,0.967273
0.30,1500,50,730,0.951737
0.30,1500,50,740,0.903095
0.30,1500,50,750,0.923390
0.30,1500,75,400,0.986891
0.30,1500,75,410,0.989279
0.30,1500,75,420,0.991254
0.30,1500,75,430,0.992934
0.30,1500,75,440,0.994525
0.30,1500,75,450,0.996175
0.30,1500,75,460,0.997716
0.30,1500,75,470,0.998944
0.30,1500,75,480,0.999697
0.30,1500,75,490,0.999975
0.30,1500,75,500,0.999906
0.30,1500,75,510,0.999458
0.30,1500,75,520,0.998197
0.30,1500,75,530,0.995577
0.30,1500,75,540,0.992512
0.30,1500,75,550,0.993338
0.30,1500,75,560,0.994845
0.30,1500,75,570,0.995644
0.30,1500,75,580,0.996292
0.30,1500,75,590,0.996987
0.30,1500,75,600,0.997747
0.30,1500,75,610,0.998540
0.30,1500,75,620,0.999178
0.30,1500,75,630,0.999310
0.30,1500,75,640,0.998985
0.30,1500,75,650,0.999105
0.30,1500,75,660,0.989801
0.30,1500,75,670,0.953083
0.30,1500,75,680,0.959341
0.30,1500,75,690,0.985402
0.30,1500,75,700,0.996143
0.30,1500,75,710,0.988401
0.30,1500,75,720,0.968153
0.30,1500,75,730,0.952149
0.30,1500,75,740,0.900215
0.30,1500,75,750,0.930228
0.30,1500,100,400,0.986891
0.30,1500,100,410,0.989279
0.30,1500,100,420,0.991254
0.30,1500,100,430,0.992934
0.30,1500,100,440,0.994525
0.30,1500,100,450,0.996175
0.30,1500,100,460,0.997716
0.30,1500,100,470,0.998944
0.30,1500,100,480,0.999697
0.30,1500,100,490,0.999975
0.30,1500,100,500,0.999906
0.30,1500,100,510,0.999458
0.30,1500,100,520,0.998197
0.30,1500,100,530,0.995577
0.30,1500,100,540,0.992512
0.30,1500,100,550,0.993338
0.30,1500,100,560,0.994845
0.30,1500,100,570,0.995644
0.30,1500,100,580,0.996292
0.30,1500,100,590,0.996987
0.30,1500,100,600,0.997747
0.30,1500,100,610,0.998540
0.30,1500,100,620,0.999178
0.30,1500,100,630,0.999310
0.30,1500,100,640,0.998985
0.30,1500,100,650,0.999105
0.30,1500,100,660,0.989801
0.30,1500,100,670,0.953083
0.30,1500,100,680,0.959341
0.30,1500,100,690,0.985403
0.30,1500,100,700,0.996147
0.30,1500,100,710,0.988483
0.30,1500,100,720,0.968895
0.30,1500,100,730,0.951706
0.30,1500,100,740,0.898986
0.30,1500,100,750,0.933309
0.30,1500,125,400,0.986891
0.30,1500,125,410,0.989279
0.30,1500,125,420,0.991254
0.30,1500,125,430,0.992934
0.30,1500,125,440,0.994525
0.30,1500,125,450,0.996175
0.30,1500,125,460,0.997716
0.30,1500,125,470,0.998944
0.30,1500,125,480,0.999697
0.30,1500,125,490,0.999975
0.30,1500,125,500,0.999906
