design,au_model,lambda_nm,R,T,A_layers,A_total
improved,lerer_fit,1480.0,0.644591,0.047017,0.308392,0.355409
improved,lerer_fit,1500.0,0.617341,0.052167,0.330492,0.382659
improved,lerer_fit,1520.0,0.667797,0.046744,0.285459,0.332203
improved,lerer_fit,1540.0,0.744631,0.037119,0.218250,0.255369
improved,lerer_fit,1560.0,0.873121,0.022096,0.104783,0.126879
improved,lerer_fit,1580.0,0.861495,0.022667,0.115837,0.138505
improved,lerer_fit,1600.0,0.859917,0.022509,0.117574,0.140083
improved,lerer_fit,1620.0,0.864982,0.022295,0.112723,0.135018
improved,lerer_fit,1640.0,0.860144,0.023777,0.116080,0.139856
improved,lerer_fit,1660.0,0.845233,0.027146,0.127621,0.154767
improved,lerer_fit,1680.0,0.817021,0.033086,0.149893,0.182979
improved,lerer_fit,1700.0,0.772583,0.042341,0.185076,0.227417
improved,lerer_fit,1720.0,0.716266,0.054341,0.229392,0.283734
improved,lerer_fit,1740.0,0.670863,0.064722,0.264415,0.329137
improved,lerer_fit,1760.0,0.674941,0.065514,0.259545,0.325059
improved,lerer_fit,1780.0,0.811684,0.043893,0.144423,0.188316
improved,lerer_fit,1800.0,0.829130,0.038443,0.132427,0.170870
improved,lerer_fit,1820.0,0.842044,0.034155,0.123800,0.157956
improved,lerer_fit,1840.0,0.871307,0.028081,0.100612,0.128693
improved,lerer_fit,1860.0,0.893700,0.023612,0.082688,0.106300
improved,lerer_fit,1880.0,0.907614,0.020865,0.071521,0.092386
improved,lerer_fit,1900.0,0.915219,0.019399,0.065382,0.084781
improved,lerer_fit,1920.0,0.918801,0.018831,0.062368,0.081199
improved,lerer_fit,1940.0,0.919268,0.018995,0.061737,0.080732
improved,lerer_fit,1960.0,0.917020,0.019868,0.063111,0.082980
improved,lerer_fit,1980.0,0.911580,0.021570,0.066850,0.088420
improved,lerer_fit,2000.0,0.902455,0.024275,0.073270,0.097545
improved,lerer_fit,2050.0,0.852667,0.039150,0.108183,0.147333
improved,lerer_fit,2100.0,0.760586,0.067454,0.171960,0.239414
improved,lerer_fit,2150.0,0.722401,0.082774,0.194825,0.277599
improved,lerer_fit,2200.0,0.815855,0.057689,0.126456,0.184145
improved,lerer_fit,2250.0,0.888662,0.036272,0.075066,0.111338
improved,lerer_fit,2300.0,0.922861,0.025869,0.051270,0.077139
improved,lerer_fit,2350.0,0.937936,0.021263,0.040801,0.062064
improved,lerer_fit,2400.0,0.943354,0.019751,0.036895,0.056646
improved,lerer_fit,2450.0,0.942589,0.020366,0.037044,0.057411
improved,lerer_fit,2500.0,0.936344,0.023030,0.040626,0.063656
improved,lerer_fit,2550.0,0.923594,0.028296,0.048110,0.076406
improved,lerer_fit,2600.0,0.901852,0.037355,0.060793,0.098148
improved,lerer_fit,2650.0,0.868324,0.051678,0.079997,0.131676
improved,lerer_fit,2700.0,0.826297,0.070456,0.103247,0.173703
improved,lerer_fit,2750.0,0.798158,0.084682,0.117160,0.201842
improved,lerer_fit,2800.0,0.810463,0.082205,0.107332,0.189537
improved,lerer_fit,2850.0,0.849243,0.067475,0.083282,0.150757
improved,lerer_fit,2900.0,0.886289,0.052382,0.061329,0.113711
improved,lerer_fit,2950.0,0.912567,0.041324,0.046109,0.087433
improved,lerer_fit,3000.0,0.929634,0.034010,0.036357,0.070366
improved,lerer_fit,3050.0,0.940445,0.029343,0.030212,0.059555
improved,lerer_fit,3100.0,0.947142,0.026476,0.026382,0.052858
improved,lerer_fit,3150.0,0.951038,0.024876,0.024086,0.048962
improved,lerer_fit,3200.0,0.952895,0.024235,0.022871,0.047105
improved,lerer_fit,3250.0,0.953132,0.024390,0.022479,0.046868
improved,lerer_fit,3300.0,0.951951,0.025275,0.022774,0.048049
improved,lerer_fit,3350.0,0.949406,0.026895,0.023699,0.050594
improved,lerer_fit,3400.0,0.945444,0.029309,0.025247,0.054556
improved,lerer_fit,3450.0,0.939931,0.032621,0.027448,0.060069
improved,lerer_fit,3500.0,0.932696,0.036960,0.030344,0.067304
improved,lerer_fit,3550.0,0.923593,0.042446,0.033961,0.076407
improved,lerer_fit,3600.0,0.912639,0.049114,0.038247,0.087361
improved,lerer_fit,3650.0,0.900238,0.056778,0.042984,0.099762
improved,lerer_fit,3700.0,0.887465,0.064854,0.047681,0.112535
improved,lerer_fit,3750.0,0.876219,0.072244,0.051537,0.123781
improved,lerer_fit,3800.0,0.868874,0.077509,0.053618,0.131126
improved,lerer_fit,3850.0,0.867263,0.079458,0.053279,0.132737
improved,lerer_fit,3900.0,0.871628,0.077809,0.050564,0.128372
improved,lerer_fit,3950.0,0.880517,0.073310,0.046173,0.119483
improved,lerer_fit,4000.0,0.891729,0.067224,0.041047,0.108271
improved,lerer_fit,2500.0,0.936344,0.023030,0.040626,0.063656
improved,lerer_fit,2699.6,0.826622,0.070305,0.103073,0.173378
improved,lerer_fit,2915.1,0.895395,0.048580,0.056025,0.104605
improved,lerer_fit,3147.9,0.950919,0.024922,0.024159,0.049081
improved,lerer_fit,3399.2,0.945517,0.029265,0.025218,0.054483
improved,lerer_fit,3670.6,0.894926,0.060109,0.044964,0.105074
improved,lerer_fit,3963.7,0.883446,0.071748,0.044806,0.116554
improved,lerer_fit,4280.1,0.941659,0.038406,0.019935,0.058341
improved,lerer_fit,4621.9,0.960453,0.027453,0.012094,0.039547
improved,lerer_fit,4990.9,0.960663,0.028527,0.010810,0.039337
improved,lerer_fit,5389.4,0.946890,0.040123,0.012987,0.053110
improved,lerer_fit,5819.7,0.914624,0.067112,0.018264,0.085376
improved,lerer_fit,6284.3,0.892905,0.087290,0.019805,0.107095
improved,lerer_fit,6786.0,0.923955,0.063869,0.012176,0.076045
improved,lerer_fit,7327.8,0.952684,0.040660,0.006656,0.047316
improved,lerer_fit,7912.9,0.966525,0.029256,0.004219,0.033475
improved,lerer_fit,8544.7,0.972604,0.024256,0.003140,0.027396
improved,lerer_fit,9226.9,0.974743,0.022610,0.002647,0.025257
improved,lerer_fit,9963.6,0.974409,0.023150,0.002442,0.025591
improved,lerer_fit,10759.1,0.972019,0.025579,0.002402,0.027981
improved,lerer_fit,11618.1,0.967437,0.030086,0.002477,0.032563
improved,lerer_fit,12545.7,0.960160,0.037199,0.002640,0.039840
improved,lerer_fit,13547.4,0.949516,0.047618,0.002865,0.050484
