material,N,target_deg,scenario,phase_scale,mean_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_peak,eta_target,eta_coherent,main_lobe_fraction,status
Sb2Se3,32,-30.0,planar_response_to_eim_design,1.6521309314586994,0.8855421792618637,-85.38,-55.379999999999995,14.269999999999996,0.0,0.8189574066641115,0.5410187294879313,0.15121711516511652,0.6606188857753692,0.03895019844143133,ok
GSST,32,-25.0,eim_prediction,0.9794910748195975,7.051878108272863,-25.0,0.0,3.3800000000000026,-10.381707330655669,0.3082008237036806,0.2506072910226115,0.2506072910226115,0.8131298547844168,0.6684715346208934,ok
GSST,32,-25.0,planar_calibrated,0.9794910748195975,4.325224769919588,-25.0,0.0,3.4200000000000017,-12.789358467304003,0.430341218831245,0.3995700725712428,0.3995700725712428,0.9284959355193236,0.7976188528727318,ok
GSST,32,-25.0,planar_response_to_eim_design,0.9794910748195975,4.236519058724884,-24.989999999999995,0.010000000000005116,3.430000000000007,-12.630646238853593,0.4365956906398831,0.40601594108131145,0.40600831822101907,0.9299586546221897,0.800616853817567,ok
Sb2S3,32,-25.0,eim_prediction,2.695111708382328,0.6741806113653767,-25.0,0.0,3.499999999999993,-13.248765713377892,0.8564889750967282,0.8563510620309008,0.8563510620309008,0.9998389785860212,0.8926487145271749,EIM buffer slice below cutoff
Sb2S3,32,-25.0,planar_calibrated,2.695111708382328,1.6036371339151951,-25.0,0.0,3.499999999999993,-13.281635048920021,0.6934706598565941,0.692359844391035,0.692359844391035,0.9983981795772171,0.892537994667879,EIM buffer slice below cutoff
Sb2S3,32,-25.0,planar_response_to_eim_design,2.695111708382328,4.321981215611522,47.22,72.22,4.699999999999989,0.0,0.37835836646342436,0.2744145044831246,0.006395306625104359,0.7252766921691741,0.014611772989014695,EIM buffer slice below cutoff
Sb2Se3,32,-25.0,eim_prediction,1.6521309314586994,0.20222725592384388,-25.0,0.0,3.490000000000002,-13.24218776666304,0.9546074362146897,0.9545551829340043,0.9545551829340043,0.9999452620221643,0.8924718515219271,ok
Sb2Se3,32,-25.0,planar_calibrated,1.6521309314586994,0.6441193140783088,-25.0,0.0,3.499999999999993,-13.266550514099949,0.8634465019452768,0.8628029426482811,0.8628029426482811,0.9992546622222154,0.8928031351018353,ok
Sb2Se3,32,-25.0,planar_response_to_eim_design,1.6521309314586994,1.0641694423387347,-57.47,-32.47,5.920000000000002,0.0,0.7858698511266378,0.5219512335025499,0.15104046496654458,0.6641700693241646,0.11483545133723279,ok
GSST,32,-20.0,eim_prediction,0.9794910748195975,7.057375207027199,-20.0,0.0,3.260000000000005,-9.567836628217757,0.31079395183465564,0.25220381332925473,0.25220381332925473,0.8114823722934891,0.587379311464022,ok
GSST,32,-20.0,planar_calibrated,0.9794910748195975,4.328338448453694,-20.0,0.0,3.299999999999997,-13.238014697259908,0.43203325043838353,0.4004152317089471,0.4004152317089471,0.9268157747179097,0.7458278112465827,ok
GSST,32,-20.0,planar_response_to_eim_design,0.9794910748195975,4.239568879058897,-19.989999999999995,0.010000000000005116,3.299999999999997,-13.19873357753163,0.43825431007037374,0.40683494883129157,0.40681715289343656,0.9283079241501654,0.7507296419045733,ok
Sb2S3,32,-20.0,eim_prediction,2.695111708382328,0.6740406846849647,-20.0,0.0,3.3700000000000045,-13.22954962887093,0.8565279149069039,0.8563842985692922,0.8563842985692922,0.9998323273122659,0.8929056453116763,EIM buffer slice below cutoff
Sb2S3,32,-20.0,planar_calibrated,2.695111708382328,1.6031958435192322,-20.0,0.0,3.3800000000000097,-13.221321388886896,0.6936341775241112,0.6924760409229769,0.6924760409229769,0.9983303351555308,0.8951588328491834,EIM buffer slice below cutoff
Sb2S3,32,-20.0,planar_response_to_eim_design,2.695111708382328,4.320791888698565,77.9,97.9,18.27000000000001,0.0,0.37884419894201404,0.2731031821060806,0.011140293789411542,0.7208852157925791,0.0074986425964957085,EIM buffer slice below cutoff
Sb2Se3,32,-20.0,eim_prediction,1.6521309314586994,0.2021456624087939,-20.0,0.0,3.3700000000000045,-13.230953461775785,0.9546296537923006,0.9545752522776274,0.9545752522776274,0.9999430129637634,0.8921878436906994,ok
Sb2Se3,32,-20.0,planar_calibrated,1.6521309314586994,0.6438183149450414,-20.0,0.0,3.3800000000000097,-13.225268266188781,0.8635598045916281,0.8628892021465069,0.8628892021465069,0.9992234441186869,0.8944148334874241,ok
Sb2Se3,32,-20.0,planar_response_to_eim_design,1.6521309314586994,1.0636721523603214,-42.82,-22.82,4.359999999999999,0.0,0.7860941762020729,0.518117729407085,0.1355689620140506,0.6591038899566888,0.1135286944175393,ok
GSST,32,-15.0,eim_prediction,0.9794910748195975,7.229887686412601,-15.0,0.0,3.1099999999999994,-11.053037062867565,0.30596758648750255,0.24492817477033885,0.24492817477033885,0.800503666359257,0.6280077165346886,ok
GSST,32,-15.0,planar_calibrated,0.9794910748195975,4.426053339150153,-15.0,0.0,3.1899999999999977,-13.02315450345608,0.4253500940045369,0.3926619478497466,0.3926619478497466,0.9231500201468356,0.7736851690382505,ok
